time,roll,pitch,yaw,qw,qx,qy,qz,linear_accel_x,linear_accel_y,linear_accel_z,jerk_x,jerk_y,jerk_z,ekf_jerk_x,ekf_jerk_y,ekf_jerk_z
[0:01:00.200000],-25.8088,-12.3761,-85.9625,-0.692729,0.234042,-0.0744609,0.678277,-0.0108984,0.563449,0.123917,0.195909,-0.0372003,-0.19206,0.108678,0.196067,-0.0835396
[0:01:00.300000],-23.506,-11.7743,-87.1291,-0.69146,0.216006,-0.0668393,0.686302,-0.0034962,0.541037,0.0954576,0.152048,-0.389078,-0.165034,0.114393,0.11896,-0.0942784
[0:01:00.400000],-21.4358,-11.2633,-88.2012,-0.689675,0.199991,-0.0595233,0.693585,0.00255725,0.503996,0.0777252,0.0970539,-0.552144,-0.139197,0.112109,0.0305257,-0.100198
[0:01:00.500000],-19.4591,-10.7434,-89.2173,-0.687676,0.184567,-0.0524403,0.700384,0.0226337,0.466339,0.0734934,0.118357,-0.35127,-0.127652,0.112932,-0.0197853,-0.103815
[0:01:00.600000],-17.56,-10.2537,-90.2258,-0.685174,0.169845,-0.045362,0.707023,0.0252394,0.434404,0.0692437,0.137816,-0.314978,-0.102594,0.116211,-0.0586842,-0.103654
[0:01:00.700000],-15.716,-9.78366,-91.2137,-0.682339,0.155644,-0.0382163,0.713428,0.060113,0.386318,0.0487338,0.153713,-0.316428,-0.0694962,0.121153,-0.0926482,-0.0991532
[0:01:00.800000],-14.0018,-9.31238,-92.2148,-0.678921,0.142274,-0.0316627,0.719771,0.0499138,0.377133,0.0349095,0.144254,-0.29337,-0.0751335,0.124197,-0.119098,-0.095988
[0:01:00.900000],-12.3684,-8.88655,-93.1865,-0.675239,0.129746,-0.0250804,0.725836,0.0852066,0.341877,0.0405923,0.130781,-0.306778,-0.0782444,0.125065,-0.14383,-0.0936499
[0:01:01],-10.8017,-8.49652,-94.0341,-0.671968,0.117935,-0.0183696,0.731069,0.0881516,0.317924,0.0330608,0.135288,-0.311547,-0.0670525,0.126412,-0.165931,-0.090145
[0:01:01.100000],-9.24792,-7.98843,-94.9675,-0.668004,0.105511,-0.0123416,0.736705,0.102177,0.272246,0.0295795,0.117403,-0.316892,-0.0486387,0.125225,-0.185823,-0.0846755
[0:01:01.200000],-7.90582,-7.53969,-95.7304,-0.664649,0.0947783,-0.00699353,0.741254,0.109937,0.247868,0.0103664,0.101035,-0.304466,-0.0387471,0.122037,-0.201457,-0.0786234
[0:01:01.300000],-6.59334,-7.16631,-96.412,-0.661548,0.0847572,-0.00119635,0.745262,0.125494,0.210116,0.0118014,0.0852123,-0.256707,-0.0426199,0.117185,-0.208738,-0.073879
[0:01:01.400000],-5.32651,-6.84944,-97.089,-0.658237,0.0754201,0.00475162,0.749173,0.137392,0.198858,0.013186,0.0933496,-0.203257,-0.0193634,0.114044,-0.208016,-0.0666953
[0:01:01.500000],-4.15921,-6.52638,-97.7607,-0.654753,0.0666697,0.0101237,0.752992,0.133715,0.172217,0.0161089,0.075552,-0.193759,-0.0182917,0.108971,-0.206137,-0.0603169
[0:01:01.600000],-2.95362,-6.1948,-98.3824,-0.651486,0.0576935,0.0158278,0.756461,0.140077,0.162189,0.0115478,0.0607751,-0.193735,-0.0107063,0.10262,-0.204503,-0.0537795
[0:01:01.700000],-1.95434,-5.92777,-99.1015,-0.647314,0.0503826,0.0205841,0.760439,0.166684,0.136338,-0.00195235,0.0542069,-0.200228,-0.0296166,0.0962407,-0.203939,-0.0505954
[0:01:01.800000],-0.977441,-5.60379,-99.814,-0.643091,0.0428724,0.0249656,0.764342,0.155586,0.123972,0.00839806,0.0763232,-0.227398,-0.0190149,0.0936161,-0.207031,-0.0464339
[0:01:01.900000],0.0291828,-5.16405,-100.494,-0.639009,0.0344641,0.0290044,0.768039,0.164143,0.0785333,-3.51667e-05,0.101964,-0.226336,-0.00618496,0.0947162,-0.209575,-0.0411301
[0:01:02],1.01818,-4.79905,-101.194,-0.634645,0.0267073,0.0334336,0.771777,0.171893,0.0809865,0.00725967,0.116236,-0.215719,0.00519192,0.097552,-0.210384,-0.0350261
[0:01:02.100000],1.88877,-4.45679,-101.846,-0.630472,0.0197921,0.0372902,0.775222,0.190176,0.0468523,-0.00193155,0.109407,-0.181535,-0.000896411,0.0991141,-0.206583,-0.0305287
[0:01:02.200000],2.65902,-4.28886,-102.484,-0.626271,0.0146492,0.041496,0.77852,0.207808,0.0276515,0.00704491,0.109932,-0.179918,-0.0211744,0.10054,-0.203069,-0.029296
[0:01:02.300000],3.47521,-4.07314,-102.966,-0.623078,0.00891482,0.0458259,0.780922,0.214493,0.0170509,0.00112283,0.0591513,-0.167949,-0.00462742,0.0950857,-0.198441,-0.0260453
[0:01:02.400000],4.15631,-3.7826,-103.539,-0.61919,0.00347381,0.0488742,0.783867,0.217171,0.00415722,3.95775e-05,0.0275487,-0.182659,-0.00392043,0.0861861,-0.196361,-0.0231298
[0:01:02.500000],4.9494,-3.56886,-104.136,-0.615083,-0.00199809,0.0531574,0.786822,0.207832,-0.0167728,-0.00276506,0.0263044,-0.154509,0.0128244,0.0782952,-0.190846,-0.018392
[0:01:02.600000],5.54536,-3.37037,-104.753,-0.610789,-0.00625901,0.0562211,0.789925,0.221727,-0.0445258,-0.000803113,0.0453428,-0.156704,0.016607,0.0739529,-0.186347,-0.01378
[0:01:02.700000],6.08378,-3.2419,-105.252,-0.607276,-0.00975689,0.0592924,0.792369,0.220243,-0.0472805,0.0114327,0.0907316,-0.144135,0.0294019,0.0761639,-0.180785,-0.00808973
[0:01:02.800000],6.61773,-3.13102,-105.814,-0.603307,-0.0130479,0.0624627,0.795106,0.236274,-0.063559,0.00496978,0.0922413,-0.12525,0.0312381,0.0782825,-0.173467,-0.00290732
[0:01:02.900000],7.12395,-2.93264,-106.416,-0.599002,-0.0167502,0.0650231,0.798081,0.250047,-0.0709976,0.0111529,0.0735781,-0.09889,0.020887,0.0776626,-0.163639,0.000228165
[0:01:03],7.71367,-2.74022,-106.843,-0.595862,-0.0209203,0.0682059,0.800064,0.250044,-0.0870113,0.0108507,0.027596,-0.101452,0.0112307,0.0710651,-0.155445,0.00167801
[0:01:03.100000],8.25967,-2.62519,-107.342,-0.592223,-0.0242518,0.0715275,0.802379,0.261083,-0.0963902,0.0133619,0.0158594,-0.130705,0.0118364,0.0637904,-0.152185,0.00301663
[0:01:03.200000],8.74648,-2.43189,-107.749,-0.589182,-0.0278604,0.0740401,0.80427,0.241199,-0.107554,0.016789,-0.00917337,-0.113369,0.0156296,0.0541756,-0.14707,0.0046787
[0:01:03.300000],9.28633,-2.34878,-108.279,-0.585282,-0.0308612,0.0775458,0.806674,0.251071,-0.113321,0.0117946,-0.00436439,-0.117228,0.0148858,0.0464616,-0.143137,0.00602374
[0:01:03.400000],9.73148,-2.27023,-108.745,-0.581828,-0.0333607,0.0804155,0.808789,0.249877,-0.138015,0.0186997,0.0166473,-0.132244,0.0210579,0.0425328,-0.141702,0.00800486
[0:01:03.500000],10.1547,-2.24699,-109.204,-0.57845,-0.0353396,0.083426,0.810821,0.261879,-0.150232,0.0197141,0.0315427,-0.123911,0.00437122,0.0410846,-0.139357,0.00752604
[0:01:03.600000],10.6321,-2.15196,-109.687,-0.574823,-0.0380582,0.0864868,0.812954,0.252428,-0.144395,0.0182841,0.0612771,-0.126028,-0.00252221,0.0437454,-0.137601,0.00620194
[0:01:03.700000],10.8928,-2.07392,-110.116,-0.571637,-0.0395902,0.0880953,0.814952,0.262639,-0.174689,0.0244559,0.0433144,-0.101932,0.00760929,0.0436886,-0.132901,0.00638739
[0:01:03.800000],11.3199,-1.93979,-110.552,-0.568301,-0.0423313,0.0906274,0.816867,0.270228,-0.186104,0.0181803,0.0436735,-0.0791049,-4.46799e-05,0.0436867,-0.125812,0.00553981
[0:01:03.900000],11.6766,-2.00349,-111.057,-0.564606,-0.0432326,0.0936745,0.819036,0.273511,-0.178217,0.0121946,0.0380101,-0.0813144,0.0159928,0.0429386,-0.119948,0.00691725
[0:01:04],11.9556,-2.05714,-111.519,-0.561226,-0.0438354,0.0961089,0.821042,0.281487,-0.203055,0.0254917,0.0221166,-0.0972874,0.025838,0.0401948,-0.116962,0.00941051
[0:01:04.100000],12.3935,-2.0113,-111.997,-0.557597,-0.0458951,0.0992139,0.823031,0.270079,-0.193559,0.0307357,-0.0044471,-0.104865,0.0225821,0.0343121,-0.115368,0.0111462
[0:01:04.200000],12.7019,-1.97303,-112.444,-0.55423,-0.0472753,0.101428,0.824955,0.27862,-0.214684,0.0216281,0.0002112,-0.141422,0.0247475,0.0298185,-0.118801,0.0129385
[0:01:04.300000],13.0588,-1.9152,-112.915,-0.550642,-0.0489909,0.10392,0.826945,0.278286,-0.23138,0.034273,0.00914207,-0.12727,0.0156762,0.0270939,-0.119917,0.0132993
[0:01:04.400000],13.3385,-1.97573,-113.335,-0.547533,-0.049507,0.106409,0.82866,0.270761,-0.251014,0.0291968,0.00458285,-0.0809057,0.00893995,0.0241275,-0.114776,0.0127248
[0:01:04.500000],13.5633,-1.88581,-113.823,-0.543826,-0.0507733,0.107825,0.830839,0.280325,-0.251362,0.0275543,0.00694701,-0.0658468,0.0183296,0.0218636,-0.108329,0.0134634
[0:01:04.600000],13.691,-1.82894,-114.235,-0.540736,-0.0514021,0.108668,0.832705,0.283514,-0.255304,0.0353116,0.0015053,-0.042755,0.0062505,0.0191809,-0.0996878,0.0125129
[0:01:04.700000],13.9656,-1.81714,-114.611,-0.53787,-0.0524207,0.11078,0.834218,0.277494,-0.247263,0.035718,0.00563346,-0.0495317,-0.0156494,0.0173957,-0.0930785,0.00880183
[0:01:04.800000],14.1086,-1.81648,-115.082,-0.534369,-0.0526361,0.112035,0.836284,0.271463,-0.260791,0.0338804,-0.0169166,-0.0697868,-0.00107583,0.0128742,-0.0900093,0.00750021
[0:01:04.900000],14.3783,-1.83188,-115.649,-0.530111,-0.0532154,0.114338,0.838642,0.27919,-0.279021,0.0302234,-0.043408,-0.10607,-0.0088663,0.00545762,-0.0921256,0.00534352
[0:01:05],14.5037,-1.88761,-116.153,-0.526409,-0.052878,0.115745,0.8408,0.277058,-0.286441,0.0237196,-0.0468978,-0.0814178,-0.00944116,-0.00144149,-0.0907146,0.00339528
[0:01:05.100000],14.636,-1.80355,-116.647,-0.522643,-0.0536017,0.116565,0.842987,0.265952,-0.287345,0.0307859,-0.0404186,-0.0690039,-0.0074203,-0.00657768,-0.0878537,0.00197006
[0:01:05.200000],14.7646,-1.88016,-117.114,-0.519213,-0.0531426,0.118075,0.844923,0.254239,-0.299146,0.0384153,-0.0508047,-0.0550212,0.0095342,-0.0124057,-0.0835272,0.00296682
[0:01:05.300000],14.8399,-1.93693,-117.512,-0.516292,-0.0526512,0.119069,0.846603,0.256484,-0.306146,0.0260267,-0.0432491,-0.0718752,0.00989584,-0.01647,-0.0819918,0.00387989
[0:01:05.400000],15.0895,-2.01267,-117.991,-0.512698,-0.0527065,0.121472,0.84844,0.256139,-0.292945,0.0301234,-0.0319284,-0.0709677,0.021241,-0.0185071,-0.0805391,0.00616765
[0:01:05.500000],15.2603,-2.04883,-118.423,-0.509452,-0.0527387,0.123097,0.850158,0.254776,-0.325478,0.0296435,-0.0309592,-0.0602012,0.00890878,-0.0201479,-0.0778591,0.00652886
[0:01:05.600000],15.3837,-2.12379,-118.867,-0.506167,-0.0522475,0.124546,0.851937,0.242849,-0.328579,0.0428927,-0.0212159,-0.0506616,0.0150608,-0.0202887,-0.0742751,0.00765315
[0:01:05.700000],15.4725,-2.07298,-119.25,-0.50323,-0.0526004,0.12516,0.853564,0.248923,-0.331118,0.0332023,-0.00658767,-0.0545555,0.0179059,-0.0184832,-0.0716766,0.00900421
[0:01:05.800000],15.636,-2.05529,-119.759,-0.499338,-0.0528882,0.126537,0.855627,0.238489,-0.321051,0.043722,0.0104216,-0.059213,-0.00374458,-0.0146743,-0.0700342,0.00732424
[0:01:05.900000],15.7431,-1.97492,-120.304,-0.495134,-0.0533515,0.127244,0.857933,0.245201,-0.337206,0.0287369,0.0026167,-0.055741,-0.00401829,-0.0123958,-0.0681507,0.00582959
[0:01:06],15.8996,-2.07281,-120.784,-0.491563,-0.0527534,0.129057,0.859751,0.256128,-0.347873,0.0404648,-0.0163555,-0.0872449,0.0063912,-0.0129176,-0.0706668,0.00590359
[0:01:06.100000],15.8884,-2.03266,-121.169,-0.488634,-0.0525735,0.128979,0.861441,0.248833,-0.355931,0.0380678,-0.0293167,-0.0906681,0.0235323,-0.0150786,-0.0733025,0.00822661
[0:01:06.200000],15.974,-2.01825,-121.747,-0.484228,-0.0523925,0.129827,0.86381,0.23767,-0.36396,0.0371259,-0.0284876,-0.0563545,0.0215036,-0.0168455,-0.0710692,0.00997617
[0:01:06.300000],16.044,-1.93554,-122.137,-0.481175,-0.0528713,0.130189,0.86543,0.228554,-0.366491,0.0457773,-0.0371607,-0.00464497,0.0226293,-0.0195225,-0.0623162,0.0116435
[0:01:06.400000],16.068,-1.94761,-122.587,-0.477772,-0.0523678,0.130628,0.867278,0.23402,-0.368296,0.0475475,-0.0302573,0.00512727,0.00889152,-0.0209371,-0.0534289,0.0112809
[0:01:06.500000],16.2044,-1.93521,-123.095,-0.47385,-0.0524465,0.131842,0.869239,0.240279,-0.367836,0.0436846,-0.0176939,-0.0171915,0.00620758,-0.0205097,-0.0486537,0.0106124
[0:01:06.600000],16.3808,-1.92109,-123.692,-0.46922,-0.052589,0.133398,0.871502,0.230637,-0.357731,0.0448445,-0.0272213,-0.0422083,-0.00231428,-0.0213942,-0.0478044,0.00890896
[0:01:06.700000],16.4946,-1.92005,-124.186,-0.465402,-0.0524826,0.134486,0.873387,0.224308,-0.369339,0.0433915,-0.0592754,-0.0670439,-0.0133354,-0.0263859,-0.0503396,0.00597771
[0:01:06.800000],16.4975,-1.94786,-124.653,-0.461866,-0.0517331,0.134833,0.875253,0.218634,-0.386291,0.0467184,-0.0460488,-0.0931744,-0.0202862,-0.028977,-0.0559842,0.0025168
[0:01:06.900000],16.4275,-1.87889,-125.104,-0.458377,-0.0514511,0.134226,0.877195,0.216664,-0.398314,0.039925,-0.0331445,-0.0774163,-0.0156704,-0.0295262,-0.0588084,0.000120192
[0:01:07],16.4636,-1.84348,-125.565,-0.454788,-0.0513258,0.13457,0.879016,0.210751,-0.393859,0.0419762,-0.0230606,-0.0549953,-0.0195238,-0.0286742,-0.0583059,-0.00246838
[0:01:07.100000],16.3984,-1.80239,-126.129,-0.450447,-0.0507238,0.134159,0.881345,0.206524,-0.40089,0.034735,-0.00888191,-0.0142307,-0.00668799,-0.0260661,-0.0524979,-0.00302442
[0:01:07.200000],16.4424,-1.84685,-126.69,-0.446152,-0.049894,0.134917,0.88346,0.225096,-0.407236,0.0348536,-0.0315091,0.000342955,0.0085655,-0.0267833,-0.0455348,-0.00149716
[0:01:07.300000],16.443,-1.79977,-127.222,-0.441991,-0.0496334,0.134972,0.885554,0.198085,-0.392544,0.0440483,-0.035923,0.0002887,0.0187763,-0.0279877,-0.0394965,0.00117436
[0:01:07.400000],16.382,-1.79219,-127.717,-0.438183,-0.0488759,0.134684,0.887531,0.202124,-0.40782,0.0378841,-0.0368796,-0.0245607,0.014364,-0.0291594,-0.0375283,0.00291242
[0:01:07.500000],16.4926,-1.85035,-128.344,-0.433333,-0.0481034,0.136026,0.889747,0.206236,-0.401361,0.0465168,-0.0399255,-0.0207182,0.0112933,-0.0305781,-0.0353132,0.00401681
[0:01:07.600000],16.5045,-1.76931,-128.923,-0.428744,-0.0480928,0.136059,0.891963,0.181893,-0.406395,0.0436035,-0.0351784,-0.0395481,-0.0150185,-0.0311843,-0.0358712,0.00150845
[0:01:07.700000],16.4621,-1.74314,-129.419,-0.424863,-0.0475498,0.13584,0.89388,0.201088,-0.410206,0.039658,-0.00503713,-0.0172596,-0.0107016,-0.0277388,-0.0334187,-0.000100531
[0:01:07.800000],16.4033,-1.76535,-130.052,-0.419966,-0.0464092,0.135721,0.896269,0.19069,-0.422037,0.0398666,-0.0318571,-0.0100567,-0.00960286,-0.0282815,-0.0303402,-0.0013527
[0:01:07.900000],16.393,-1.69071,-130.662,-0.415111,-0.0462345,0.135617,0.898553,0.186255,-0.407592,0.0390453,-0.0561993,-0.0287395,-0.0141684,-0.0319603,-0.0301292,-0.00304148
[0:01:08],16.3654,-1.74247,-131.17,-0.411191,-0.0451266,0.135788,0.900384,0.18346,-0.419329,0.0339927,-0.0544745,-0.0165633,0.0070544,-0.0349271,-0.0283416,-0.0017111
[0:01:08.100000],16.3173,-1.70269,-131.669,-0.407239,-0.0446773,0.135465,0.902249,0.180858,-0.404126,0.0473477,-0.0920019,-0.0203439,0.010181,-0.0424481,-0.0272877,-0.000144019
[0:01:08.200000],16.2992,-1.6892,-132.184,-0.403177,-0.0441117,0.135475,0.904098,0.158938,-0.435259,0.033336,-0.0629999,-0.0415299,0.00215626,-0.0451563,-0.0291645,0.000159099
[0:01:08.300000],16.3698,-1.6907,-132.696,-0.399103,-0.0437393,0.136234,0.905808,0.153418,-0.426187,0.0408245,-0.0743627,-0.0565286,0.000722774,-0.049005,-0.0327704,0.000233377
[0:01:08.400000],16.3204,-1.65772,-133.311,-0.394219,-0.0430991,0.135962,0.908015,0.165041,-0.421152,0.0455084,-0.0461705,-0.0150709,-0.010789,-0.0486315,-0.030438,-0.00121909
[0:01:08.500000],16.2231,-1.56186,-133.806,-0.390225,-0.0429423,0.135052,0.909882,0.140102,-0.434489,0.0355889,-0.021194,-0.019621,-0.0224242,-0.0450159,-0.0290126,-0.00401338
[0:01:08.600000],16.1152,-1.62679,-134.38,-0.385771,-0.0413848,0.134624,0.911915,0.155266,-0.440608,0.0344851,-0.0227443,0.00434013,-0.0163315,-0.0420811,-0.0246176,-0.0056366
[0:01:08.700000],16.1675,-1.49839,-135,-0.380672,-0.0418551,0.13484,0.914002,0.134679,-0.429661,0.0374264,-0.0271331,-0.0130043,-0.0229355,-0.0401113,-0.0230872,-0.00791615
[0:01:08.800000],16.0957,-1.41726,-135.631,-0.37557,-0.0415256,0.134231,0.916215,0.155442,-0.421386,0.0302075,-0.0328742,0.012813,0.00884067,-0.0391577,-0.0183565,-0.00570803
[0:01:08.900000],16.1324,-1.28008,-136.263,-0.370349,-0.0420042,0.134313,0.918304,0.13684,-0.446188,0.0330168,-0.015676,-0.00207531,0.0201468,-0.0360634,-0.0162111,-0.00230103
[0:01:09],16.1851,-1.23264,-136.878,-0.365338,-0.0418311,0.134809,0.920244,0.129428,-0.4273,0.0363067,-0.0480204,-0.027538,0.027149,-0.037639,-0.0177037,0.00157973
[0:01:09.100000],16.221,-1.13037,-137.548,-0.359831,-0.04198,0.135022,0.922373,0.140124,-0.434871,0.0405967,-0.0326741,-0.0226369,0.0222215,-0.0369848,-0.0183537,0.00429978
[0:01:09.200000],16.1385,-1.05981,-138.171,-0.354756,-0.0415586,0.134366,0.924452,0.124021,-0.433006,0.0476193,-0.0617016,-0.0315983,0.00339181,-0.0402418,-0.020099,0.00418014
[0:01:09.300000],16.0344,-0.958188,-138.846,-0.349229,-0.0412716,0.133459,0.926697,0.12848,-0.454462,0.0353065,-0.0611582,-0.0140126,-0.0134217,-0.042998,-0.019297,0.00186066
[0:01:09.400000],16.021,-0.851889,-139.406,-0.344579,-0.0414398,0.133233,0.928462,0.108606,-0.438254,0.0452845,-0.0858562,-0.0297846,-0.00718018,-0.0486457,-0.020679,0.000669313
[0:01:09.500000],16.0065,-0.7618,-140.049,-0.339273,-0.0413812,0.13308,0.930438,0.116343,-0.437224,0.032498,-0.0751525,-0.00652188,-0.0143437,-0.0521386,-0.0188135,-0.00130902
[0:01:09.600000],15.963,-0.737018,-140.623,-0.334594,-0.0407886,0.13286,0.932189,0.0909578,-0.45859,0.0332606,-0.0304595,0.00823325,0.000617455,-0.0492818,-0.0152494,-0.00105516
[0:01:09.700000],15.9193,-0.537888,-141.32,-0.328707,-0.041478,0.132181,0.934347,0.0946161,-0.433698,0.0435112,-0.0251982,0.0228109,-0.00232849,-0.0461082,-0.010234,-0.00122296
[0:01:09.800000],15.8875,-0.373952,-141.935,-0.323512,-0.0420176,0.131681,0.936204,0.0957072,-0.449711,0.0422394,-0.0207565,0.00162395,-0.0018551,-0.0427675,-0.00867144,-0.00130626
[0:01:09.900000],15.8358,-0.322647,-142.641,-0.317699,-0.0414822,0.131372,0.93826,0.103011,-0.440848,0.0294746,-0.0193305,-0.0121035,-0.000479027,-0.0396791,-0.0091237,-0.00119725
[0:01:10],15.8805,-0.201538,-143.315,-0.312014,-0.0418229,0.131651,0.940112,0.0976178,-0.43684,0.0423735,-0.0173413,-0.0172086,0.00294097,-0.0367356,-0.0101891,-0.000651937
[0:01:10.100000],15.9349,-0.169006,-143.936,-0.30686,-0.0415221,0.132236,0.941738,0.0782881,-0.444345,0.0298151,-0.0482503,-0.0303694,0.00449929,-0.0382529,-0.0128483,2.68625e-05
[0:01:10.200000],15.9167,0.00627267,-144.556,-0.301569,-0.0422017,0.131848,0.94347,0.08092,-0.457043,0.0448611,-0.0417536,-0.017745,0.00505009,-0.0387142,-0.0134936,0.000688796
[0:01:10.300000],15.946,0.0631315,-145.268,-0.295622,-0.0419257,0.132202,0.945313,0.0889314,-0.458877,0.0347471,-0.0495365,-0.0172819,-0.00752579,-0.0401403,-0.0139928,-0.000393677
[0:01:10.400000],15.8332,0.109991,-145.928,-0.290154,-0.0412644,0.131391,0.947147,0.0716219,-0.441113,0.0460507,-0.0706475,-0.0116861,-0.0265899,-0.0441604,-0.0136888,-0.00384567
[0:01:10.500000],15.8526,0.109162,-146.561,-0.284915,-0.0405799,0.13178,0.948712,0.0678842,-0.450961,0.0291756,-0.0785756,0.000545321,-0.00892743,-0.0486954,-0.0118131,-0.00451531
[0:01:10.600000],15.7632,0.147247,-147.337,-0.278465,-0.0397843,0.131217,0.950737,0.0647648,-0.458309,0.0295443,-0.0994518,-0.0122188,-0.00957514,-0.0553838,-0.0118666,-0.00518207
[0:01:10.700000],15.7999,0.3239,-147.958,-0.273096,-0.0406281,0.131314,0.952244,0.0405652,-0.45111,0.0329055,-0.0724335,-0.0276714,0.00841365,-0.0576305,-0.0139492,-0.0033905
[0:01:10.800000],15.7273,0.414411,-148.61,-0.267587,-0.0404628,0.130727,0.953894,0.0346376,-0.463559,0.035867,-0.0475177,-0.0272616,0.0209277,-0.0562979,-0.0157035,-0.000185979
[0:01:10.900000],15.7156,0.523543,-149.3,-0.261715,-0.0405576,0.130621,0.955533,0.0477727,-0.453288,0.0430284,-0.039354,0.0122908,0.0249853,-0.0540651,-0.0120145,0.00313095
[0:01:11],15.5614,0.711169,-149.952,-0.25611,-0.0410349,0.12914,0.957231,0.0326146,-0.462039,0.0353184,-0.0259944,0.0294533,0.00643841,-0.0503661,-0.00655015,0.00356679
[0:01:11.100000],15.4585,0.925732,-150.729,-0.249402,-0.0417288,0.128084,0.959112,0.0396549,-0.456144,0.0381852,-0.0129686,0.0148611,0.00215048,-0.0454381,-0.00372869,0.00338015
[0:01:11.200000],15.4039,1.14792,-151.382,-0.243699,-0.0427434,0.127385,0.960625,0.0243061,-0.453071,0.0442256,-0.0401276,0.0118705,-0.00682637,-0.0447383,-0.00167312,0.00203519
[0:01:11.300000],15.4157,1.34104,-152.082,-0.237593,-0.0436079,0.127338,0.962121,0.0272486,-0.441409,0.0326927,-0.0355898,0.0121439,-0.00651309,-0.0435328,0.000147607,0.000908749
[0:01:11.400000],15.3649,1.41024,-152.898,-0.230671,-0.0431788,0.127076,0.963858,0.0240615,-0.450495,0.0409686,-0.0430681,0.0270062,-0.0157691,-0.0434715,0.00368688,-0.00128897
[0:01:11.500000],15.371,1.53384,-153.716,-0.223643,-0.0433234,0.127188,0.965492,0.0236545,-0.461875,0.0381817,-0.0443335,0.030243,-0.0139883,-0.0435851,0.0071863,-0.00296241
[0:01:11.600000],15.3953,1.68511,-154.387,-0.217797,-0.0438985,0.127352,0.96678,0.00908171,-0.442428,0.0315305,-0.0365195,0.0346128,-0.00513917,-0.0426541,0.0108004,-0.00324925
[0:01:11.700000],15.3299,1.73209,-155.153,-0.211298,-0.043322,0.127002,0.968293,0.0150282,-0.432105,0.0358292,-0.0617362,0.0496097,0.00641259,-0.0451686,0.0159145,-0.00197607
[0:01:11.800000],15.2834,1.94169,-155.906,-0.204698,-0.0441741,0.126508,0.969736,-0.00518018,-0.435929,0.0300516,-0.0391711,0.0272231,0.0144768,-0.0443783,0.0174047,0.000191996
[0:01:11.900000],15.3368,2.03532,-156.624,-0.198492,-0.0442661,0.12707,0.970947,0.011895,-0.433762,0.0448791,-0.028993,-0.0125892,0.0192958,-0.0423509,0.0134522,0.00270939
[0:01:12],15.391,2.30346,-157.388,-0.191672,-0.0457799,0.127361,0.972209,-0.0060725,-0.438044,0.0366937,-0.0271964,-0.0295078,0.0161261,-0.0403539,0.00779121,0.00447737
[0:01:12.100000],15.3482,2.42369,-158.158,-0.185016,-0.0458748,0.127102,0.973527,-0.0122156,-0.433457,0.040608,-0.0385753,-0.0151644,-0.0125541,-0.0401195,0.00476625,0.00223306
[0:01:12.200000],15.194,2.47031,-159.033,-0.177577,-0.0450596,0.126063,0.975084,0.00434444,-0.45478,0.0431679,-0.0412508,0.00531024,-0.0219632,-0.0402686,0.00483793,-0.000955392
[0:01:12.300000],15.193,2.73933,-159.86,-0.170219,-0.0464358,0.125963,0.976344,-0.0169661,-0.436213,0.0318947,-0.0648496,0.00813866,-0.0135784,-0.0435077,0.00527288,-0.00261878
[0:01:12.400000],15.1243,2.9657,-160.574,-0.163899,-0.0474804,0.125327,0.977456,-0.0209547,-0.430001,0.0368987,-0.0293264,0.0309252,0.00175689,-0.041639,0.0086532,-0.00204218
[0:01:12.500000],15.0473,3.06916,-161.315,-0.157483,-0.047445,0.124826,0.978576,-0.0236682,-0.437652,0.0265705,-0.0410173,0.0319507,-0.00816835,-0.0415571,0.0117232,-0.00284945
[0:01:12.600000],15.0559,3.25493,-162.026,-0.151184,-0.0482661,0.124934,0.979515,-0.0287315,-0.431952,0.0407593,-0.0425506,0.0260487,0.0041933,-0.041688,0.013611,-0.0019214
[0:01:12.700000],14.9225,3.40099,-162.803,-0.14442,-0.0484971,0.123924,0.980652,-0.0299708,-0.433452,0.043291,-0.00357847,-0.012761,0.0036112,-0.0366661,0.0101358,-0.00119234
[0:01:12.800000],14.9795,3.53859,-163.558,-0.137773,-0.0489254,0.124554,0.981507,-0.0192728,-0.421373,0.0292836,-0.0387724,0.00268925,-0.008277,-0.0369437,0.00915454,-0.00212592
[0:01:12.900000],15.0059,3.6486,-164.306,-0.131227,-0.0490838,0.124964,0.982343,-0.0442731,-0.433628,0.0300686,-0.0359931,0.0259776,-0.0183399,-0.0368184,0.0113714,-0.0042625
[0:01:13],14.9839,3.74394,-165.237,-0.123132,-0.0488592,0.12506,0.98339,-0.0384621,-0.431093,0.0386774,-0.0425107,0.0261681,-0.00964502,-0.0375685,0.0133212,-0.00497178
[0:01:13.100000],14.9166,3.88746,-166.156,-0.115105,-0.0490185,0.124715,0.984398,-0.0329722,-0.431749,0.0295029,-0.0324939,0.0194765,0.00274307,-0.0368998,0.0141323,-0.00395516
[0:01:13.200000],14.9707,4.05648,-167.082,-0.106925,-0.0495108,0.125401,0.985208,-0.0614623,-0.413259,0.0323238,-0.0255731,0.0336196,0.0131311,-0.0354072,0.0167002,-0.00170362
[0:01:13.300000],14.9129,4.1437,-167.996,-0.0989844,-0.0492083,0.125213,0.986077,-0.0370558,-0.412686,0.030278,-0.0289748,0.0324522,0.00505013,-0.0345596,0.0187759,-0.00081365
